AssertFlip 运行汇总报告
数据集文件: /root/Baxxhy/BugReproduce/AssertFlip/datasets/SWT_Verified_Agentless_Test_Source_Skeleton.json
本报告统计范围: 前 80 条 / 数据集原始总数 433 条
结果目录: /root/Baxxhy/BugReproduce/AssertFlip/assertflip_swt_verified_first80_run/results

指标说明:
- 这个报告只统计你这次本地运行 AssertFlip 的结果，不再混入仓库自带的历史评测 JSON。
- “本地生成成功，AssertFlip已接受”表示 AssertFlip 生成并接受了一个 bug-revealing 测试文件。
- 这还不是最终 F2P。真正 F2P 还需要再跑 SWE-Bench evaluator：测试要在 buggy 版本失败，并且在 fixed/golden patch 版本通过。
- 论文里的覆盖率是 Delta Mean Change Coverage，也就是 golden patch 修改行上的覆盖率变化；不是 attempts 日志里的普通 coverage.py 总覆盖率。
- 当前表里的运行覆盖率来自 attempts 日志，是生成测试在 buggy checkout 上跑出来的普通 coverage.py 总覆盖率。

总条数: 80
有生成尝试日志的条数: 36
被 AssertFlip 在 buggy 侧接受的条数: 10
本地接受率: 12.50%
生成了尝试但未被接受的条数: 26
本地运行错误条数: 44
最终 F2P 成功条数: 当前未计算，需要另跑 SWE-Bench evaluator
最终 F2P 成功率: 当前未计算，需要另跑 SWE-Bench evaluator

逐条结果表:
序号	实例ID	本地运行结果	是否有生成日志	是否被AssertFlip接受	流程阶段	运行覆盖率百分比	失败原因或说明
1	astropy__astropy-12907	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	30.76	LLM 验证拒绝： The test is incorrectly asserting the expected output for the nested compound model. According to the issue ticket, the expected output for the nested model should be `[[ True, True, False, True], [ True, True, False, True], [False, False, True, True], [False, False, True, True]]`, but the test is asserting against `[[ True, True, False, False], [ True, True, False, False], [False, False, True, False], [False, False, False, True]]`, which is not the correct expected output. Therefore, the tes...
2	astropy__astropy-13033	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	28.81	
3	astropy__astropy-13236	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	28.24	def test_structured_array_as_column_warning(): # Create a structured numpy array structured_array = np.array([(1, 'A'), (2, 'B')], dtype=[('field1', 'i4'), ('field2', 'U1')]) # Initialize a Table instance table = Table() # Use pytest's warnings context manager to capture the FutureWarning with pytest.warns(FutureWarning, match="wrap `data` in `Column`"): # Add the structured array as a column > table.add_column(structured_array, name='my_column') E Failed: DID NOT WARN. No warnings of type (<...
4	astropy__astropy-13398	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	34.08	LLM 验证拒绝： The test fails because it asserts that no warnings should be raised during the transformation from ITRS to AltAz and HADec frames, despite the fact that the test is intentionally set up to use different obstimes for the input and output frames. The reported issue indicates that the transformation should handle obstime differences without raising warnings, but the test does not account for the fact that the current implementation may still raise warnings when the obstimes differ. Therefore, th...
5	astropy__astropy-13453	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	29.16	LLM 验证拒绝： The test is incorrectly asserting that the output should not contain the raw values from the 'a' column, which contradicts the reported bug. The bug states that the 'formats' argument is ignored when writing to HTML, and the test is designed to confirm that the bug is fixed by checking for the absence of the raw values. However, since the bug is that the formatting is not applied, the raw values will still be present in the output. Therefore, the test does not accurately reproduce the bug and...
6	astropy__astropy-13579	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	31.59	def test_sliced_low_level_wcs_bug_exposure(): # Setup WCS header for a 3D WCS with a non-trivial PCij matrix nx = 100 ny = 25 nz = 2 wcs_header = { 'WCSAXES': 3, 'CRPIX1': (nx + 1) / 2, 'CRPIX2': (ny + 1) / 2, 'CRPIX3': 1.0, 'PC1_1': 0.0, 'PC1_2': -1.0, 'PC1_3': 0.0, 'PC2_1': 1.0, 'PC2_2': 0.0, 'PC2_3': -1.0, 'CDELT1': 5, 'CDELT2': 5, 'CDELT3': 0.055, 'CUNIT1': 'arcsec', 'CUNIT2': 'arcsec', 'CUNIT3': 'Angstrom', 'CTYPE1': 'HPLN-TAN', 'CTYPE2': 'HPLT-TAN', 'CTYPE3': 'WAVE', 'CRVAL1': 0.0, 'CRV...
7	astropy__astropy-13977	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	28.00	LLM 验证拒绝： The test `test_duckarray_incompatible_units` is incorrectly designed to check for the behavior of adding incompatible units. The expectation that the addition of `incompatible_unit` (1 * u.m) and `duck_array_mm` (1 * u.mm) should return `NotImplemented` is flawed. According to the reported issue, the current behavior of `Quantity.__array_ufunc__()` raises a `ValueError` when incompatible units are involved, which is the expected behavior. The test fails because it does not account for the fac...
8	astropy__astropy-14096	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	30.78	LLM 验证拒绝： The test is incorrectly designed to check for an error message related to a non-existent attribute 'random_attr', but the actual error raised is about the property 'prop' not existing. The test fails because it expects the error message to indicate 'random_attr' does not exist, while the error message indicates that 'prop' does not exist. This discrepancy shows that the test does not accurately reproduce the reported bug, which is about misleading error messages when accessing a non-existent ...
9	astropy__astropy-14182	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	28.47	LLM 验证拒绝： The test is incorrectly designed because it expects the `tbl.write` method to handle the `header_rows` argument for the RST format, which it does not. The error message indicates that the `RST` writer does not accept `header_rows` as a valid argument, leading to a `TypeError`. Therefore, the test does not accurately reproduce the reported bug, as the bug is about the lack of support for `header_rows` in the RST format, not about the method failing to raise an error when it is incorrectly call...
10	astropy__astropy-14309	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	27.78	LLM 验证拒绝： The test is designed to check if the `identify_format` function raises an `IndexError` when provided with invalid file paths. However, the test fails because the `identify_format` function does indeed raise an `IndexError` when it attempts to access `args[0]`, which is out of range since `args` is an empty list. This indicates that the test is not correctly reproducing the bug as described in the issue ticket. The bug is related to the handling of file paths without valid FITS extensions, but...
11	astropy__astropy-14365	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	28.39	<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject ============================= test session starts ============================== platform linux -- Python 3.9.20, pytest-7.4.0, pluggy-1.3.0 Running tests with Astropy version 5.3.dev882+g7269fa3e3.d20250910. Running tests in astropy/tests/test_bozis0q6.py. Date: 2026-05-16T17:08:07 Platform: Linux-4.15.0-142-generic-x86_64-with-gl...
12	astropy__astropy-14369	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	29.33	
13	astropy__astropy-14508	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	28.03	<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject ============================= test session starts ============================== platform linux -- Python 3.9.20, pytest-7.4.0, pluggy-1.3.0 Running tests with Astropy version 5.3.dev718+ga3f4ae6cd.d20250910. Running tests in astropy/tests/test_xrh0hdvy.py. Date: 2026-05-16T17:25:44 Platform: Linux-4.15.0-142-generic-x86_64-with-gl...
14	astropy__astropy-14539	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	34.03	<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject ============================= test session starts ============================== platform linux -- Python 3.9.20, pytest-7.4.0, pluggy-1.3.0 Running tests with Astropy version 5.3.dev756+gc0a24c1dc.d20250910. Running tests in astropy/tests/test_a0l5q2es.py. Date: 2026-05-16T17:36:40 Platform: Linux-4.15.0-142-generic-x86_64-with-gl...
15	astropy__astropy-14598	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	28.46	LLM 验证拒绝： The test incorrectly assumes that the problematic lengths (65, 67, 68, 69) should yield equal values for the FITS card when they actually should not. According to the issue ticket, the bug manifests when the length of the string exceeds certain thresholds, leading to a transformation of double single quotes into single single quotes. The test fails because it expects equality for these lengths, which contradicts the reported behavior of the bug. Therefore, the test does not correctly reproduc...
16	astropy__astropy-14995	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	29.64	LLM 验证拒绝： The test does not correctly reproduce the reported bug because it incorrectly asserts that the mask of `nref_mask` should remain unchanged after the multiplication with `nref_nomask`. The expected behavior, as per the issue ticket, is that when multiplying a masked NDDataRef with an unmasked one, the mask should be propagated correctly. However, the test fails because it does not account for the fact that the multiplication operation is expected to raise a TypeError when the bug is present. T...
17	astropy__astropy-8872	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	39.42	
18	django__django-10554	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	38.44	Creating test database for alias 'default' ('file:memorydb_default?mode=memory&cache=shared')... ERROR ====================================================================== ERROR: setUpClass (test_64dv7h1b.DimensionUnionOrderingTest) ---------------------------------------------------------------------- Traceback (most recent call last): File "/testbed/django/db/backends/utils.py", line 86, in _execute return self.cursor.execute(sql, params) File "/testbed/django/db/backends/sqlite3/base.py"...
19	django__django-10880	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	39.16	
20	django__django-10914	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	33.04	LLM 验证拒绝： The test is designed to check if the file permissions of an uploaded file are not equal to 0o600, which is a valid concern given the reported issue about inconsistent file permissions when using TemporaryUploadedFile. However, the test fails because it asserts that the permissions should not be 0o600, but the actual permissions returned are 0o600, leading to an AssertionError. This indicates that the test does not correctly reproduce the bug as it expects the permissions to be different from ...
21	django__django-10973	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	32.70	
22	django__django-10999	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	32.67	LLM 验证拒绝： The test is incorrectly designed because it assumes that all negative duration inputs should return None. However, the `parse_duration` function is expected to return a `datetime.timedelta` object representing the negative duration instead of None. The test fails because the function is working as intended, returning valid negative `timedelta` objects for the provided negative duration strings. The test does not accurately reflect the expected behavior of the `parse_duration` function as desc...
23	django__django-11066	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	38.68	Creating test database for alias 'default' ('file:memorydb_default?mode=memory&cache=shared')... test_rename_content_type_saves_to_wrong_database (test_0hztj5c1.RenameContentTypeTest) ... FAIL ====================================================================== FAIL: test_rename_content_type_saves_to_wrong_database (test_0hztj5c1.RenameContentTypeTest) ---------------------------------------------------------------------- Traceback (most recent call last): File "/opt/miniconda3/envs/testbed...
24	django__django-11087	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	38.59	Creating test database for alias 'default' ('file:memorydb_default?mode=memory&cache=shared')... test_cycle_data_unicode_decode_error (test_duzhev_3.CycleDataManagementCommandTests) ... ERROR ====================================================================== ERROR: test_cycle_data_unicode_decode_error (test_duzhev_3.CycleDataManagementCommandTests) ---------------------------------------------------------------------- Traceback (most recent call last): File "/testbed/tests/test_duzhev_3.p...
25	django__django-11095	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	32.78	LLM 验证拒绝： The test is incorrectly designed to validate the behavior of the `get_inline_instances` method. The expectation that no inline instances should be returned when the add permission is False is flawed because the `get_inline_instances` method may still return instances based on other conditions, such as view or change permissions. The test does not account for the fact that inline instances can still be valid even if they do not have add permissions. Therefore, the test does not accurately repr...
26	django__django-11099	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	32.71	
27	django__django-11119	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	33.09	LLM 验证拒绝： The test is incorrectly asserting that the output should be escaped when the autoescape attribute is set to False. According to the issue ticket, the bug is that the `render_to_string` method does not honor the autoescape attribute, meaning that if autoescape is set to False, the output should not be escaped. Therefore, the expected output in the test should be '<script>' instead of '&lt;script&gt;'. The test fails because it is based on an incorrect assumption about the behavior of the `rend...
