AssertFlip 运行汇总报告
数据集文件: /root/Baxxhy/BugReproduce/AssertFlip/datasets/SWT_Verified_Agentless_Author_Default_326.json
本报告统计范围: 前 100 条 / 数据集原始总数 326 条
结果目录: /root/Baxxhy/BugReproduce/AssertFlip/assertflip_swt_verified_author326_first100_run/results

指标说明:
- 这个报告只统计你这次本地运行 AssertFlip 的结果，不再混入仓库自带的历史评测 JSON。
- “本地生成成功，AssertFlip已接受”表示 AssertFlip 生成并接受了一个 bug-revealing 测试文件。
- 这还不是最终 F2P。真正 F2P 还需要再跑 SWE-Bench evaluator：测试要在 buggy 版本失败，并且在 fixed/golden patch 版本通过。
- 论文里的覆盖率是 Delta Mean Change Coverage，也就是 golden patch 修改行上的覆盖率变化；不是 attempts 日志里的普通 coverage.py 总覆盖率。
- 当前表里的运行覆盖率来自 attempts 日志，是生成测试在 buggy checkout 上跑出来的普通 coverage.py 总覆盖率。

总条数: 100
有生成尝试日志的条数: 0
被 AssertFlip 在 buggy 侧接受的条数: 0
本地接受率: 0.00%
生成了尝试但未被接受的条数: 0
本地运行错误条数: 0
最终 F2P 成功条数: 当前未计算，需要另跑 SWE-Bench evaluator
最终 F2P 成功率: 当前未计算，需要另跑 SWE-Bench evaluator

逐条结果表:
序号	实例ID	本地运行结果	是否有生成日志	是否被AssertFlip接受	流程阶段	运行覆盖率百分比	失败原因或说明
1	sphinx-doc__sphinx-10673	没有生成日志	否	否			没有找到 attempts 日志
2	pydata__xarray-7229	没有生成日志	否	否			没有找到 attempts 日志
3	sphinx-doc__sphinx-10466	没有生成日志	否	否			没有找到 attempts 日志
4	django__django-14404	没有生成日志	否	否			没有找到 attempts 日志
5	django__django-15315	没有生成日志	否	否			没有找到 attempts 日志
6	django__django-13837	没有生成日志	否	否			没有找到 attempts 日志
7	django__django-14053	没有生成日志	否	否			没有找到 attempts 日志
8	matplotlib__matplotlib-24026	没有生成日志	否	否			没有找到 attempts 日志
9	scikit-learn__scikit-learn-14087	没有生成日志	否	否			没有找到 attempts 日志
10	matplotlib__matplotlib-23314	没有生成日志	否	否			没有找到 attempts 日志
11	pydata__xarray-6721	没有生成日志	否	否			没有找到 attempts 日志
12	matplotlib__matplotlib-22865	没有生成日志	否	否			没有找到 attempts 日志
13	pydata__xarray-4356	没有生成日志	否	否			没有找到 attempts 日志
14	astropy__astropy-14182	没有生成日志	否	否			没有找到 attempts 日志
15	django__django-14631	没有生成日志	否	否			没有找到 attempts 日志
16	pylint-dev__pylint-8898	没有生成日志	否	否			没有找到 attempts 日志
17	django__django-10554	没有生成日志	否	否			没有找到 attempts 日志
18	django__django-13023	没有生成日志	否	否			没有找到 attempts 日志
19	matplotlib__matplotlib-25122	没有生成日志	否	否			没有找到 attempts 日志
